Ad Poster ID,Date,Platform,Ad ID,Folder,Ad Name,Text,Left or right.leaning?,Product or Issue-reference?,State or National candidate/issue?,Ad Permitted (Y/N)
3,9/17/2018,Facebook,1,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 1,Garcia,"Text: Check out this VINYL from the one and only Garcia!, Website URL: https://api.bestbuy.com/click/-/20572785/pdp, Headline: Calling all music lovers, State: Arizona, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/17/2018,Google,2,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 1,Garcia,"Text: Check out this VINYL from the one and only Garcia!, Website URL: https://api.bestbuy.com/click/-/20572785/pdp, Headline: Calling all music lovers, State: Arizona, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/18/2018,Facebook,3,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 1,Garcia,"Text: Check out this VINYL from the one and only Garcia!, Website URL: https://api.bestbuy.com/click/-/21828179/pdp, Headline: Calling all music lovers, State: Arizona, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/18/2018,Google,4,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 1,Garcia,"Text: Check out this VINYL from the one and only Garcia!, Website URL: https://api.bestbuy.com/click/-/21828179/pdp, Headline: Calling all music lovers, State: Arizona, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/18/2018,Facebook,5,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 2,Garcia,"Text: Check out this VINYL from the one and only Garcia!, Website URL: https://api.bestbuy.com/click/-/24030026/pdp, Headline: Calling all music lovers, State: Arizona, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/18/2018,Google,6,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 2,Garcia,"Text: Check out this VINYL from the one and only Garcia!, Website URL: https://api.bestbuy.com/click/-/24030026/pdp, Headline: Calling all music lovers, State: Arizona, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/18/2018,Facebook,7,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 2,Garcia,"Text: Check out this VINYL from the one and only Garcia!, Website URL: https://api.bestbuy.com/click/-/25292299/pdp, Headline: Calling all music lovers, State: Arizona, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/18/2018,Google,8,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 2,Garcia,"Text: Check out this VINYL from the one and only Garcia!, Website URL: https://api.bestbuy.com/click/-/25292299/pdp, Headline: Calling all music lovers, State: Arizona, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/19/2018,Facebook,9,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 3,Henderson,"Text: Check out this VINYL from the one and only Henderson!, Website URL: https://api.bestbuy.com/click/-/17939965/pdp, Headline: Calling all music lovers, State: Arkansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/19/2018,Google,10,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 3,Henderson,"Text: Check out this VINYL from the one and only Henderson!, Website URL: https://api.bestbuy.com/click/-/17939965/pdp, Headline: Calling all music lovers, State: Arkansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/20/2018,Facebook,11,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 4,Henderson,"Text: Check out this VINYL from the one and only Henderson!, Website URL: https://api.bestbuy.com/click/-/22797835/pdp, Headline: Calling all music lovers, State: Arkansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/20/2018,Google,12,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 4,Henderson,"Text: Check out this VINYL from the one and only Henderson!, Website URL: https://api.bestbuy.com/click/-/22797835/pdp, Headline: Calling all music lovers, State: Arkansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/21/2018,Facebook,13,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 5,Henderson,"Text: Check out this VINYL from the one and only Henderson!, Website URL: https://api.bestbuy.com/click/-/24189432/pdp, Headline: Calling all music lovers, State: Arkansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/21/2018,Google,14,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 5,Henderson,"Text: Check out this VINYL from the one and only Henderson!, Website URL: https://api.bestbuy.com/click/-/24189432/pdp, Headline: Calling all music lovers, State: Arkansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/21/2018,Facebook,15,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 5,Henderson,"Text: Check out this VINYL from the one and only Henderson!, Website URL: https://api.bestbuy.com/click/-/25396203/pdp, Headline: Calling all music lovers, State: Arkansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/21/2018,Google,16,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 5,Henderson,"Text: Check out this VINYL from the one and only Henderson!, Website URL: https://api.bestbuy.com/click/-/25396203/pdp, Headline: Calling all music lovers, State: Arkansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/23/2018,Facebook,17,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 6,Henderson,"Text: Check out this 12 inch Vinyl Single from the one and only Henderson!, Website URL: https://api.bestbuy.com/click/-/27305189/pdp, Headline: Calling all music lovers, State: Arkansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/23/2018,Google,18,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 6,Henderson,"Text: Check out this 12 inch Vinyl Single from the one and only Henderson!, Website URL: https://api.bestbuy.com/click/-/27305189/pdp, Headline: Calling all music lovers, State: Arkansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/23/2018,Facebook,19,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 6,Newsom,"Text: Check out this VINYL from the one and only Newsom!, Website URL: https://api.bestbuy.com/click/-/17124096/pdp, Headline: Calling all music lovers, State: California, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/23/2018,Google,20,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 6,Newsom,"Text: Check out this VINYL from the one and only Newsom!, Website URL: https://api.bestbuy.com/click/-/17124096/pdp, Headline: Calling all music lovers, State: California, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/24/2018,Facebook,21,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 7,Newsom,"Text: Check out this VINYL from the one and only Newsom!, Website URL: https://api.bestbuy.com/click/-/18409735/pdp, Headline: Calling all music lovers, State: California, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
