Ad Poster ID,Date,Ad ID,Platform,Folder,Ad Name,Text,Left or right.leaning?,Product or Issue-reference?,State or National candidate/issue?,Ad Permitted (Y/N)
4,09/18/2018,1,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 1,THOM,"Text: Check out this VINYL from the one and only Thom!, Website URL: https://api.bestbuy.com/click/-/18698186/pdp, Headline: Calling all music lovers, State: NJ, District: 02, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/18/2018,2,Google,../ads/products/Democrat/Congressional Candidates (D) #2/Day 1,THOM,"Text: Check out this VINYL from the one and only Thom!, Website URL: https://api.bestbuy.com/click/-/18698186/pdp, Headline: Calling all music lovers, State: NJ, District: 02, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/19/2018,3,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 2,YOUNGBLOOD,"Text: Check out this VINYL from the one and only Youngblood!, Website URL: https://api.bestbuy.com/click/-/31413703/pdp, Headline: Calling all music lovers, State: NJ, District: 02, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/19/2018,4,Google,../ads/products/Democrat/Congressional Candidates (D) #2/Day 2,YOUNGBLOOD,"Text: Check out this VINYL from the one and only Youngblood!, Website URL: https://api.bestbuy.com/click/-/31413703/pdp, Headline: Calling all music lovers, State: NJ, District: 02, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/20/2018,5,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 3,KIM,"Text: Check out this VINYL from the one and only Kim!, Website URL: https://api.bestbuy.com/click/-/18267694/pdp, Headline: Calling all music lovers, State: NJ, District: 03, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/20/2018,6,Google,../ads/products/Democrat/Congressional Candidates (D) #2/Day 3,KIM,"Text: Check out this VINYL from the one and only Kim!, Website URL: https://api.bestbuy.com/click/-/18267694/pdp, Headline: Calling all music lovers, State: NJ, District: 03, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/21/2018,7,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 4,HARTMAN,"Text: Check out this VINYL from the one and only Hartman!, Website URL: https://api.bestbuy.com/click/-/18313648/pdp, Headline: Calling all music lovers, State: NJ, District: 03, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/21/2018,8,Google,../ads/products/Democrat/Congressional Candidates (D) #2/Day 4,HARTMAN,"Text: Check out this VINYL from the one and only Hartman!, Website URL: https://api.bestbuy.com/click/-/18313648/pdp, Headline: Calling all music lovers, State: NJ, District: 03, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/21/2018,9,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 4,JACOB,"Text: Check out this VINYL from the one and only Jacob!, Website URL: https://api.bestbuy.com/click/-/16738684/pdp, Headline: Calling all music lovers, State: NJ, District: 07, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/21/2018,10,Google,../ads/products/Democrat/Congressional Candidates (D) #2/Day 4,JACOB,"Text: Check out this VINYL from the one and only Jacob!, Website URL: https://api.bestbuy.com/click/-/16738684/pdp, Headline: Calling all music lovers, State: NJ, District: 07, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
