Ad Poster ID,Date,Platform,Ad ID,Folder,Ad Name,Text,Left or right leaning?,Product or Issue-reference?,State or National candidate/issue?,Ad Permitted (Y/N)
6,9/18/2018,Google,2,../ads/products/Republican/Congressional Candidates (R) #2/Day 1,SMITH,"Text: Check out this 12 inch Vinyl Single from the one and only Smith!, Website URL: https://api.bestbuy.com/click/-/15838658/pdp, Headline: Calling all music lovers, State: NJ, District: 04, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/18/2018,Google,4,../ads/products/Republican/Congressional Candidates (R) #2/Day 2,MCCANN,"Text: Check out this VINYL from the one and only Mccann!, Website URL: https://api.bestbuy.com/click/-/19866899/pdp, Headline: Calling all music lovers, State: NJ, District: 05, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/19/2018,Google,6,../ads/products/Republican/Congressional Candidates (R) #2/Day 3,BROWN,"Text: Check out this 12 inch Vinyl Single from the one and only Brown!, Website URL: https://api.bestbuy.com/click/-/15833118/pdp, Headline: Calling all music lovers, State: NJ, District: 07, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/19/2018,Google,8,../ads/products/Republican/Congressional Candidates (R) #2/Day 3,LANCE,"Text: Check out this VINYL from the one and only Lance!, Website URL: https://api.bestbuy.com/click/-/25268179/pdp, Headline: Calling all music lovers, State: NJ, District: 07, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/21/2018,Google,10,../ads/products/Republican/Congressional Candidates (R) #2/Day 4,WEBBER,"Text: Check out this VINYL from the one and only Webber!, Website URL: https://api.bestbuy.com/click/-/31225282/pdp, Headline: Calling all music lovers, State: NJ, District: 11, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/21/2018,Google,12,../ads/products/Republican/Congressional Candidates (R) #2/Day 4,GHEE,"Text: Check out this VINYL from the one and only Ghee!, Website URL: https://api.bestbuy.com/click/-/34198309/pdp, Headline: Calling all music lovers, State: NJ, District: 11, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/21/2018,Google,14,../ads/products/Republican/Congressional Candidates (R) #2/Day 5,O''NEILL',"Text: Check out this VINYL from the one and only O''Neill!, Website URL: https://api.bestbuy.com/click/-/29026192/pdp, Headline: Calling all music lovers, State: CT, District: 05, Office: H, Keywords: east coast, record store, vinyl, cd'",Republican,Product,National,Y
6,9/21/2018,Google,16,../ads/products/Republican/Congressional Candidates (R) #2/Day 5,SANTOS,"Text: Check out this VINYL from the one and only Santos!, Website URL: https://api.bestbuy.com/click/-/19384235/pdp, Headline: Calling all music lovers, State: CT, District: 05, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/23/2018,Google,18,../ads/products/Republican/Congressional Candidates (R) #2/Day 6,ALLISON,"Text: Check out this VINYL from the one and only Allison!, Website URL: https://api.bestbuy.com/click/-/21171332/pdp, Headline: Calling all music lovers, State: NC, District: 01, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/23/2018,Google,20,../ads/products/Republican/Congressional Candidates (R) #2/Day 7,HOLDING,"Text: Check out this VINYL from the one and only Holding!, Website URL: https://api.bestbuy.com/click/-/17163436/pdp, Headline: Calling all music lovers, State: NC, District: 02, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/24/2018,Google,22,../ads/products/Republican/Congressional Candidates (R) #2/Day 8,JONES,"Text: Check out this VINYL from the one and only Jones!, Website URL: https://api.bestbuy.com/click/-/16712791/pdp, Headline: Calling all music lovers, State: NC, District: 03, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/25/2018,Google,24,../ads/products/Republican/Congressional Candidates (R) #2/Day 9,LAW,"Text: Check out this VINYL from the one and only Law!, Website URL: https://api.bestbuy.com/click/-/17894735/pdp, Headline: Calling all music lovers, State: NC, District: 03, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/25/2018,Google,26,../ads/products/Republican/Congressional Candidates (R) #2/Day 9,FOXX,"Text: Check out this VINYL from the one and only Foxx!, Website URL: https://api.bestbuy.com/click/-/17011573/pdp, Headline: Calling all music lovers, State: NC, District: 05, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/27/2018,Google,28,../ads/products/Republican/Congressional Candidates (R) #2/Day 10,HUDSON,"Text: Check out this VINYL from the one and only Hudson!, Website URL: https://api.bestbuy.com/click/-/25382688/pdp, Headline: Calling all music lovers, State: NC, District: 08, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/27/2018,Google,30,../ads/products/Republican/Congressional Candidates (R) #2/Day 10,HARRIS,"Text: Check out this VINYL from the one and only Harris!, Website URL: https://api.bestbuy.com/click/-/1343963/pdp, Headline: Calling all music lovers, State: NC, District: 09, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/27/2018,Google,32,../ads/products/Republican/Congressional Candidates (R) #2/Day 11,ROBERTS,"Text: Check out this VINYL from the one and only Roberts!, Website URL: https://api.bestbuy.com/click/-/17750505/pdp, Headline: Calling all music lovers, State: NC, District: 10, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/28/2018,Google,34,../ads/products/Republican/Congressional Candidates (R) #2/Day 12,MCHENRY,"Text: Check out this VINYL from the one and only Mchenry!, Website URL: https://api.bestbuy.com/click/-/32571596/pdp, Headline: Calling all music lovers, State: NC, District: 10, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/30/2018,Google,36,../ads/products/Republican/Congressional Candidates (R) #2/Day 13,BONHAM,"Text: Check out this VINYL from the one and only Bonham!, Website URL: https://api.bestbuy.com/click/-/21570793/pdp, Headline: Calling all music lovers, State: NC, District: 12, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/30/2018,Google,38,../ads/products/Republican/Congressional Candidates (R) #2/Day 13,BUDD,"Text: Check out this VINYL from the one and only Budd!, Website URL: https://api.bestbuy.com/click/-/19966825/pdp, Headline: Calling all music lovers, State: NC, District: 13, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,10/01/2018,Google,40,../ads/products/Republican/Congressional Candidates (R) #2/Day 14,ARRINGTON,"Text: Check out this VINYL from the one and only Arrington!, Website URL: https://api.bestbuy.com/click/-/17428623/pdp, Headline: Calling all music lovers, State: SC, District: 01, Office: H, Keywords: east coast, record store, vinyl, cd",Republican,Product,National,Y
6,9/18/2018,Google,42,../ads/issues/Republican/Eastern U.S. Parades/Day 1,Veterans Day Parade,"Text: Don''t forget about our troops. Visit the Veterans Day Parade on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=CT, Headline: Respect our military, State: CT, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/18/2018,Google,44,../ads/issues/Republican/Eastern U.S. Parades/Day 2,Connecticut Veterans Day Parade,"Text: Don''t forget about our troops. Visit the Connecticut Veterans Day Parade on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=CT, Headline: Respect our military, State: CT, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/18/2018,Google,46,../ads/issues/Republican/Eastern U.S. Parades/Day 2,2014 Scoutings Salute To Veterans Parade,"Text: Don''t forget about our troops. Visit the 2014 Scoutings Salute To Veterans Parade on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=VT, Headline: Respect our military, State: VT, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/19/2018,Google,48,../ads/issues/Republican/Eastern U.S. Parades/Day 3,Scoutings Salute To Veterans Parade,"Text: Don''t forget about our troops. Visit the Scoutings Salute To Veterans Parade on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=VT, Headline: Respect our military, State: VT, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/19/2018,Google,50,../ads/issues/Republican/Eastern U.S. Parades/Day 3,Scouting Salute To Veterans Parade,"Text: Don''t forget about our troops. Visit the Scouting Salute To Veterans Parade on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=VT, Headline: Respect our military, State: VT, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/21/2018,Google,52,../ads/issues/Republican/Eastern U.S. Parades/Day 4,40Th Annual Memorial Day Parade,"Text: Don''t forget about our troops. Visit the 40Th Annual Memorial Day Parade on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=VT, Headline: Respect our military, State: VT, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/21/2018,Google,54,../ads/issues/Republican/Eastern U.S. Parades/Day 4,Scouting Salute To Veterans Parade,"Text: Don''t forget about our troops. Visit the Scouting Salute To Veterans Parade on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=VT, Headline: Respect our military, State: VT, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/21/2018,Google,56,../ads/issues/Republican/Eastern U.S. Parades/Day 5,5Th Annual State Wide Veterans Parade,"Text: Don''t forget about our troops. Visit the 5Th Annual State Wide Veterans Parade on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=VT, Headline: Respect our military, State: VT, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/23/2018,Google,58,../ads/issues/Republican/Eastern U.S. Parades/Day 6,American Legion Post 117,"Text: Don''t forget about our troops. Visit the American Legion Post 117 on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=NC, Headline: Respect our military, State: NC, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/23/2018,Google,60,../ads/issues/Republican/Eastern U.S. Parades/Day 7,7Th Annual Veterans Day Ceremony,"Text: Don''t forget about our troops. Visit the 7Th Annual Veterans Day Ceremony on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=NC, Headline: Respect our military, State: NC, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/23/2018,Google,62,../ads/issues/Republican/Eastern U.S. Parades/Day 7,Portrait Of America: Honoring Our Veterans,"Text: Don''t forget about our troops. Visit the Portrait Of America: Honoring Our Veterans on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=NC, Headline: Respect our military, State: NC, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/24/2018,Google,64,../ads/issues/Republican/Eastern U.S. Parades/Day 8,Mooresville Veterans Day Parade & Celebration,"Text: Don''t forget about our troops. Visit the Mooresville Veterans Day Parade & Celebration on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=NC, Headline: Respect our military, State: NC, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/25/2018,Google,66,../ads/issues/Republican/Eastern U.S. Parades/Day 9,Patriots Salute To Veterans Parade,"Text: Don''t forget about our troops. Visit the Patriots Salute To Veterans Parade on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=NC, Headline: Respect our military, State: NC, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/25/2018,Google,68,../ads/issues/Republican/Eastern U.S. Parades/Day 9,Salute To Veterans Parade,"Text: Don''t forget about our troops. Visit the Salute To Veterans Parade on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=NC, Headline: Respect our military, State: NC, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/27/2018,Google,70,../ads/issues/Republican/Eastern U.S. Parades/Day 10,Veterans Day Ceremony,"Text: Don''t forget about our troops. Visit the Veterans Day Ceremony on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=NC, Headline: Respect our military, State: NC, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/27/2018,Google,72,../ads/issues/Republican/Eastern U.S. Parades/Day 11,Veterans Day Ceremony,"Text: Don''t forget about our troops. Visit the Veterans Day Ceremony on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=NC, Headline: Respect our military, State: NC, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/28/2018,Google,74,../ads/issues/Republican/Eastern U.S. Parades/Day 12,Patriots Salute To Veterans Parade 2013,"Text: Don''t forget about our troops. Visit the Patriots Salute To Veterans Parade 2013 on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=NC, Headline: Respect our military, State: NC, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
6,9/28/2018,Google,76,../ads/issues/Republican/Eastern U.S. Parades/Day 12,Veteran Day Parade,"Text: Don''t forget about our troops. Visit the Veteran Day Parade on Nov. 11, Website URL: https://www.vetfriends.com/parades/directory.cfm?state=NC, Headline: Respect our military, State: NC, Keywords: east coast, veterans day, parades'",Republican,Issue,State,Y
